Country,Year,Temperature_change
Portugal,1962,0.541
Portugal,1963,-0.07
Portugal,1964,0.534
Portugal,1965,-0.218
Portugal,1966,0.289
Portugal,1967,-0.043
Portugal,1968,0.023
Portugal,1969,-0.351
Portugal,1970,0.08
Portugal,1971,-0.881
Portugal,1972,-0.924
Portugal,1973,-0.087
Portugal,1974,-0.459
Portugal,1975,-0.107
Portugal,1976,-0.38
Portugal,1977,-0.303
Portugal,1978,0.136
Portugal,1979,0.131
Portugal,1980,0.243
Portugal,1981,0.524
Portugal,1982,0.538
Portugal,1983,0.262
Portugal,1984,-0.156
Portugal,1985,0.489
Portugal,1986,0.055
Portugal,1987,0.704
Portugal,1988,0.588
Portugal,1989,1.075
Portugal,1990,1.358
Portugal,1991,0.396
Portugal,1992,0.383
Portugal,1993,-0.233
Portugal,1994,0.644
Portugal,1995,1.622
Portugal,1996,0.7
Portugal,1997,1.569
Portugal,1998,1.186
Portugal,1999,0.568
Portugal,2000,0.6
Portugal,2001,1.091
Portugal,2002,0.636
Portugal,2003,1.403
Portugal,2004,0.961
Portugal,2005,0.937
Portugal,2006,1.508
Portugal,2007,0.734
Portugal,2008,0.623
Portugal,2009,1.331
Portugal,2010,1.077
Portugal,2011,1.583
Portugal,2012,0.769
Portugal,2013,0.909
Portugal,2014,1.329
Portugal,2015,1.376
Portugal,2016,1.658
Portugal,2017,2.085
Portugal,2018,0.841
Portugal,2019,1.225
Portugal,2020,1.921
Portugal,2021,1.153
Portugal,2022,2.188
Portugal,2023,2.482
Portugal,2024,2.069
Portugal,2025,2.151
Spain,1961,0.739
Spain,1962,0.429
Spain,1963,-0.215
Spain,1964,0.489
Spain,1965,-0.193
Spain,1966,0.402
Spain,1967,0.143
Spain,1968,0.081
Spain,1969,-0.307
Spain,1970,0.109
Spain,1971,-0.761
Spain,1972,-0.847
Spain,1973,-0.188
Spain,1974,-0.459
Spain,1975,-0.114
Spain,1976,-0.393
Spain,1977,-0.185
Spain,1978,0.079
Spain,1979,0.255
Spain,1980,0.157
Spain,1981,0.327
Spain,1982,0.695
Spain,1983,0.542
Spain,1984,-0.176
Spain,1985,0.467
Spain,1986,0.248
Spain,1987,0.709
Spain,1988,0.783
Spain,1989,1.032
Spain,1990,1.445
Spain,1991,0.203
Spain,1992,0.294
Spain,1993,-0.063
Spain,1994,1.019
Spain,1995,1.413
Spain,1996,0.689
Spain,1997,1.506
Spain,1998,1.162
Spain,1999,0.781
Spain,2000,0.778
Spain,2001,1.369
Spain,2002,0.782
Spain,2003,1.566
Spain,2004,0.959
Spain,2005,0.84
Spain,2006,1.474
Spain,2007,0.791
Spain,2008,0.818
Spain,2009,1.3
Spain,2010,0.864
Spain,2011,1.571
Spain,2012,0.999
Spain,2013,0.874
Spain,2014,1.575
Spain,2015,1.49
Spain,2016,1.681
Spain,2017,2.003
Spain,2018,1.109
Spain,2019,1.48
Spain,2020,2.018
Spain,2021,1.356
Spain,2022,2.401
Spain,2023,2.565
Spain,2024,2.283
Spain,2025,2.303
Syria,1961,-0.034
Syria,1962,0.979
Syria,1963,0.557
Syria,1964,-0.685
Syria,1965,-0.174
Syria,1966,0.94
Syria,1967,-1.007
Syria,1968,-0.178
Syria,1969,0.168
Syria,1970,0.653
Syria,1971,-0.163
Syria,1972,-0.906
Syria,1973,-0.398
Syria,1974,-0.168
Syria,1975,-0.177
Syria,1976,-0.849
Syria,1977,0.184
Syria,1978,0.161
Syria,1979,0.899
Syria,1980,-0.199
Syria,1981,0.14
Syria,1982,-0.541
Syria,1983,-0.86
Syria,1984,-0.009
Syria,1985,-0.041
Syria,1986,0.389
Syria,1987,-0.194
Syria,1988,-0.22
Syria,1989,0.35
Syria,1990,0.176
Syria,1991,0.499
Syria,1992,-1.105
Syria,1993,-0.553
Syria,1994,1.294
Syria,1995,0.174
Syria,1996,0.463
Syria,1997,-0.115
Syria,1998,1.154
Syria,1999,1.289
Syria,2000,0.674
Syria,2001,1.159
Syria,2002,0.863
Syria,2003,0.537
Syria,2004,0.641
Syria,2005,0.247
Syria,2006,1.02
Syria,2007,0.774
Syria,2008,1.015
Syria,2009,0.603
Syria,2010,2.427
Syria,2011,0.606
Syria,2012,0.97
Syria,2013,1.286
Syria,2014,1.097
Syria,2015,1.251
Syria,2016,1.736
Syria,2017,1.09
Syria,2018,2.343
Syria,2019,1.505
Syria,2020,1.815
Syria,2021,2.175
Syria,2022,1.448
Syria,2023,1.852
Syria,2024,2.289
Syria,2025,2.093
Tunisia,1961,0.358
Tunisia,1962,0.265
Tunisia,1963,0.07
Tunisia,1964,0.46
