Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Mean_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct,Temperature_change,Previous_Year_Yield,Yield_Growth_Rate,Average_Soil_Moisture,Average_Soil_Temperature,Temperature_Yearly_Change,Precipitation_Yearly_Change,Soil_Moisture_Yearly_Change
Spain,2005,2465258.0,4021720.0,1631.4,14.818031,5.8523507,2.707964,358.047707490623,456.3566742340724,0.20160528,0.20783867,0.19386794,15.136136,15.071426,58.4343505179427,2.75836581828682,35.7042517381635,26450.9530130382,43653155.0,22.7793198079706,0.84,2109.7,-0.2267146987723372,0.20110396333333333,15.103781000000001,-0.0017630000000004031,-144.31685785204172,-0.04079234666666667
Spain,2006,2483697.0,5679021.0,2286.5,15.526738,7.641195,2.6848755,608.9832736849785,439.3263437350591,0.2425614,0.2456495,0.21999882,15.795415,15.712604,57.3429796785442,2.40075384884813,36.002998116157,28421.686527407,44397319.0,22.5031351216798,1.474,1631.4,0.4015569449552532,0.2360699066666667,15.7540095,0.7087070000000004,250.9355661943555,0.03496594333333336
Spain,2007,2470162.0,6140251.0,2485.8,14.515976,6.866155,2.6356394,489.1953203305602,442.5622348388036,0.23198341,0.2368226,0.21615468,14.753143,14.828,56.1078720121817,2.4946614560374,36.2844202680772,32652.015594702,45226803.0,22.2261062109013,0.791,2286.5,0.08716378744806486,0.22832023,14.790571499999999,-1.0107619999999997,-119.78795335441828,-0.007749676666666677
Spain,2008,2450471.0,5570727.0,2273.3,14.482539,6.9142966,2.780928,577.9173345267773,435.1669036944707,0.23757242,0.23745109,0.19921452,14.729482,14.747165,56.4194065757819,2.35367195478016,36.5979510825982,35603.248328071,45954106.0,21.9578561001223,0.818,2485.8,-0.08548555796926538,0.22474600999999997,14.7383235,-0.03343700000000105,88.72201419621706,-0.0035742200000000446
Spain,2009,2449828.0,6972094.0,2846.0,15.373357,6.5643563,2.8319056,559.6338692754507,449.4684521754583,0.2150355,0.2197063,0.20353426,15.808957,15.650658,56.0903220631292,2.24960158062983,36.8992880920868,32279.8208476151,46362946.0,21.7080078138299,1.3,2273.3,0.25192451502221425,0.21275868666666664,15.7298075,0.8908180000000012,-18.28346525132656,-0.011987323333333327
Spain,2010,2475466.0,7197600.0,2907.6,14.623548,6.9890747,2.8188584,791.3201729506254,426.62075356642407,0.2583428,0.26303944,0.2517242,14.964493,15.053988,55.0888982220356,2.41740898393438,37.089938201236,30658.7422282912,46576897.0,21.4861843765112,0.864,2846.0,0.021644413211524993,0.2577021466666667,15.0092405,-0.7498090000000008,231.6863036751747,0.044943460000000046
Spain,2011,2503675.0,7820060.0,3123.4,15.531934,7.3215156,2.6310484,518.6700855195522,445.75416954358417,0.23464762,0.24059105,0.22532797,15.798108,15.737119,54.0409698327599,2.3625185975353,37.1019204609106,31824.6219134777,46742697.0,21.304602043505,1.571,2907.6,0.07421928738478467,0.2335222133333333,15.7676135,0.9083860000000001,-272.6500874310732,-0.024179933333333375
Spain,2012,2504261.0,3849300.0,1537.1,14.940094,5.499209,2.7564962,485.357124581933,455.8354930480321,0.21022819,0.21559508,0.19384412,15.425954,15.349965,53.8613782211471,2.39776671776239,37.0797784930329,28456.4438151477,46773055.0,21.1544319698382,0.999,3123.4,-0.5078760325286547,0.20655579666666668,15.387959500000001,-0.5918399999999995,-33.31296093761921,-0.02696641666666663
Spain,2013,2507000.0,9276100.0,3700.1,14.620148,6.6302085,2.883003,604.337415382266,437.12830050786334,0.23468976,0.2414185,0.2355517,14.928838,14.961441,53.4439535395134,2.60946207875576,37.0821135123248,29228.846559842,46604197.0,21.0141913097888,0.874,1537.1,1.407195367900592,0.23721998666666666,14.9451395,-0.31994599999999984,118.98029080033302,0.03066418999999998
Spain,2014,2515800.0,4560400.0,1812.7,15.412636,7.7307053,2.882433,597.9384581372142,437.80884150664014,0.23944904,0.24198984,0.22030109,15.729304,15.677381,53.1336838527818,2.52697678134345,37.0844485316167,29707.765509467,46460733.0,20.8803286166512,1.575,3700.1,-0.5100943217750871,0.23391332333333334,15.703342500000002,0.7924879999999987,-6.398957245051861,-0.0033066633333333206
Spain,2015,2351370.0,5947700.0,2529.5,15.729042,7.0046134,2.6776102,406.9122598171234,448.3618077039719,0.21278453,0.21658558,0.20068352,16.01683,15.915721,53.1890621841609,2.72327046339292,37.1275324670126,25982.4416197775,46422303.0,20.7545107256977,1.49,1812.7,0.39543222816792634,0.2100178766666667,15.966275499999998,0.31640600000000063,-191.02619832009077,-0.023895446666666653
Spain,2016,2521694.0,7082550.0,2808.6,15.50676,7.4538245,2.7988167,623.0758511573076,437.57613694667816,0.23785944,0.2382081,0.21075915,15.977974,15.997665,52.5772473596977,2.81522075003094,37.142868581403,26755.6061149398,46458139.0,20.6384044722003,1.681,2529.5,0.11033801146471633,0.22894223,15.9878195,-0.22228199999999987,216.1635913401842,0.01892435333333331
Spain,2017,2554829.0,6549499.0,2563.6,16.050203,6.3108773,2.7188866,383.91357588768005,460.15568645795184,0.20004267,0.20227613,0.18825059,16.526138,16.500069,52.6387138276281,2.80344676690393,37.1522339173654,28381.3425596906,46571232.0,20.5336766914317,2.003,2808.6,-0.08723207291889201,0.19685646333333331,16.5131035,0.5434429999999999,-239.16227526962757,-0.03208576666666668
Spain,2018,2579000.0,9819570.0,3807.5,14.889969,7.5238547,2.7584562,709.1331958770752,428.0633747975032,0.24928986,0.24856198,0.21512848,15.351893,15.392311,52.408209711446,2.70128254621885,37.1566467814769,30602.4212881113,46782011.0,20.4419942186639,1.109,2563.6,0.48521610235606194,0.23766010666666668,15.372102,-1.160233999999999,325.21961998939514,0.04080364333333336
Spain,2019,2601900.0,5965080.0,2292.6,15.44737,6.557528,2.889656,469.5613163411617,452.9371162255605,0.20918252,0.21174073,0.19277172,15.981496,15.899936,52.4584917258728,2.51980122994951,37.1677215644695,29786.5245689007,47118501.0,20.3650238891693,1.48,3807.5,-0.39787261982928435,0.20456498999999997,15.940716,0.5574009999999987,-239.57187953591347,-0.0330951166666667
