Country,Country_Code,Year,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct
Egypt,EGY,2015,3.80719985936009,11.3940627685257,0.0486413179968858,3306.98159414141,99597342.0,57.3943685910952
Egypt,EGY,2016,3.75083168416294,11.769316084742,0.0451855944547692,3270.6287768197,101644589.0,57.4789282733775
Egypt,EGY,2017,3.85450680596715,10.9863806449848,0.0451855944547692,2395.10333299491,103696057.0,57.5513991312821
Egypt,EGY,2018,3.88065698930132,10.8302490249025,0.0451855944547692,2484.70315630508,105682094.0,57.5422822550031
Egypt,EGY,2019,3.93992666633181,10.6971354538956,0.0451855944547692,2962.98892023003,107553158.0,57.5187972667352
Egypt,EGY,2020,3.98915063539103,11.1668239443487,0.0451855944547692,3511.11381026379,109315124.0,57.4818465369326
Egypt,EGY,2021,4.04942488321865,11.4369326589725,0.0451855944547692,3827.35415374308,110957008.0,57.4313937378532
Egypt,EGY,2022,4.07654829474107,10.9457535224737,0.0451855944547692,4233.30783744856,112618250.0,57.3674870991968
Egypt,EGY,2023,4.07654829474107,10.6003111645036,0.0451855944547692,3456.78965212363,114535772.0,57.2901884958081
Egypt,EGY,2024,4.07654829474107,13.7121128792805,0.0451855944547692,3338.47371043679,116538258.0,57.1995636061596
Greece,GRC,2000,66.1675717610551,5.50251363510967,27.93040806827,11638.2010697215,10805808.0,27.334357089016
Greece,GRC,2001,65.4615981380915,5.36221949397772,28.1643669511249,12156.9572824221,10862132.0,27.1539296211498
Greece,GRC,2002,64.7245927075252,5.22103153499556,28.398326609775,13782.195640943,10902022.0,26.9022890357484
Greece,GRC,2003,64.0186190845617,5.3240542693888,28.63228549263,18020.612039764,10928070.0,26.567731975907
Greece,GRC,2004,62.6842513576416,4.54970535485524,28.8662451512801,21449.2552764245,10955141.0,26.1732397076272
Greece,GRC,2005,62.1024049650892,4.47718109899217,29.100204034135,22054.1315756886,10987314.0,25.7382623305689
Greece,GRC,2006,61.0007757951901,3.28557674416163,29.3341629169899,24416.0232970275,11020362.0,25.282249944392
Greece,GRC,2007,60.1474010861133,3.15474298162147,29.56812257564,28440.7625328955,11048473.0,24.8246526487561
Greece,GRC,2008,59.4026377036462,2.89505867715816,29.802081458495,31695.8331092209,11077841.0,24.384920543321
Greece,GRC,2009,58.6501163692785,2.92582395634654,30.0360411171451,29425.4573200263,11107017.0,23.9825037277465
Greece,GRC,2010,58.0993017843289,2.9142102078812,30.27,26653.0488008626,11121341.0,23.6368523016923
Greece,GRC,2011,57.377812257564,3.0618456010827,30.27,25504.7866510124,11104899.0,23.3647390070593
Greece,GRC,2012,56.5011636927851,3.41908207828197,30.27,21624.346052551,11045011.0,23.1320202550678
Greece,GRC,2013,55.4926299456943,3.35146223879432,30.27,21573.3449762805,10965211.0,22.9048000349829
Greece,GRC,2014,48.1070597362296,3.53346105430384,30.27,21474.7257123892,10892413.0,22.6869513724134
Greece,GRC,2015,48.0915438324282,3.82153798821664,30.27,17980.7298238137,10820883.0,22.4805573682455
Greece,GRC,2016,47.6027928626843,3.45812941533327,30.2699767261443,17919.2426377048,10775971.0,22.2877011233652
Greece,GRC,2017,46.9630783553142,3.7522702094539,30.2699767261443,18631.9930129293,10754679.0,22.1104657386589
Greece,GRC,2018,46.1108642358417,3.52573090341626,30.2699767261443,19873.4015238771,10732882.0,21.9509343150126
Greece,GRC,2019,45.4892645461598,3.66151933931312,30.2699767261443,19335.3602002969,10721582.0,21.8111899533125
Greece,GRC,2020,43.6358456167572,3.9238294812332,30.2699767261443,17886.733165236,10698599.0,21.6933157544448
Greece,GRC,2021,44.3128673390225,3.53173488105093,30.2699767261443,20652.89659591,10570130.0,21.6115101352558
Greece,GRC,2022,41.6760170674942,3.78490731948212,30.2699767261443,20884.6773436263,10437805.0,21.4497809019191
Greece,GRC,2023,41.6760178432894,3.74222017907683,30.2699767261443,23343.7103964562,10407351.0,21.2253696157912
Greece,GRC,2024,41.6760178432894,3.765512541308,30.2699767261443,24626.1481858973,10405134.0,21.0032143499466
Italy,ITA,2000,52.8780797922345,2.55763392992713,28.3014561169763,20190.0035636084,56942108.0,32.8067716213757
Italy,ITA,2001,52.4215637871215,2.4818910807856,28.5242325458714,20570.4385917862,56976981.0,32.72480117712
Italy,ITA,2002,51.6471773784484,2.36532442144257,28.7470089747665,22451.3964379368,57089824.0,32.6461213433462
Italy,ITA,2003,50.4095117645865,2.35238168739719,28.9697854036616,27577.5700319855,57399184.0,32.5700585388213
Italy,ITA,2004,50.3283533636776,2.34229627595505,29.1925618325567,31348.1901841445,57828179.0,32.4927500260092
Italy,ITA,2005,49.8312581581101,2.03006110909468,29.4153382614518,32062.723833669,58166682.0,32.4102830681581
Italy,ITA,2006,48.0288653379233,1.94158568418969,29.6381146903469,33537.1286994269,58399861.0,32.3187449285166
Italy,ITA,2007,47.8902197363705,1.89414967924379,29.860891119242,37826.1754554823,58756247.0,32.2142228703331
Italy,ITA,2008,48.8884680675508,1.87300893559166,30.0836675481371,40828.5795580937,59211181.0,32.0928041568559
Italy,ITA,2009,47.2828843695683,1.80208177882956,30.3064439770322,37099.6133958219,59555454.0,31.9505760513335
Italy,ITA,2010,48.45088902265,1.76928173132246,30.5292204059273,35856.8625485539,59819407.0,31.7836258170143
Italy,ITA,2011,46.8439526846523,1.84910093882918,30.7111775407652,38432.3742820019,60026841.0,31.5984926110489
Italy,ITA,2012,46.4259869199711,1.90886941227517,30.8931346756031,34854.3949441965,60191247.0,31.2391205764741
Italy,ITA,2013,46.0912085162215,2.05779366637333,31.075091810441,35701.6746002376,60311613.0,30.6926010083924
Italy,ITA,2014,44.5086196984965,1.90848213125891,31.2570489452789,36028.3494022349,60320707.0,30.4192361385121
Italy,ITA,2015,43.7748124902779,1.99152552817849,31.4390060801169,30639.8829751432,60229605.0,30.3899993896484
