Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Total_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct,Temperature_change
Egypt,2016,78968.0,874748.0,11077.2,21.676363,11.866028,3.938221,30.28430336434394,5082.588513374329,0.03807438,0.074931756,0.07308658,23.52846,23.547354,3.75083168416294,11.769316084742,0.0451855944547692,3270.6287768197,101644589.0,57.4789282733775,1.392
Egypt,2017,91826.0,1094724.0,11921.7,20.92906,11.745059,3.7647364,29.141316276974976,5071.3156151771545,0.03574792,0.08347834,0.081258334,22.8672,22.91407,3.85450680596715,10.9863806449848,0.0451855944547692,2395.10333299491,103696057.0,57.5513991312821,0.61
Egypt,2018,89955.0,1083771.0,12047.9,21.952639,12.548892,3.8585575,49.50306964898482,5021.34690618515,0.039596666,0.08839699,0.09020746,23.864784,23.819618,3.88065698930132,10.8302490249025,0.0451855944547692,2484.70315630508,105682094.0,57.5422822550031,2.057
Egypt,2019,103000.0,981000.0,9524.3,21.106737,11.698787,4.0127606,56.00334210076835,5080.027002334595,0.04229607,0.09341201,0.09137731,23.039507,23.071236,3.93992666633181,10.6971354538956,0.0451855944547692,2962.98892023003,107553158.0,57.5187972667352,0.992
Egypt,2020,101000.0,968400.0,9588.1,21.032585,12.341205,3.907335,88.85371180158108,5038.691376686096,0.047021713,0.12815191,0.09792697,23.106207,23.257696,3.98915063539103,11.1668239443487,0.0451855944547692,3511.11381026379,109315124.0,57.4818465369326,1.0
Egypt,2021,108360.0,1056548.0,9750.4,21.539177,12.233185,3.8783357,45.42089379997924,5111.879199981689,0.041540608,0.13121402,0.10660682,23.469984,23.491432,4.04942488321865,11.4369326589725,0.0451855944547692,3827.35415374308,110957008.0,57.4313937378532,1.688
Egypt,2022,112657.0,1011444.0,8978.1,20.913702,11.980652,3.9001234,40.944925123709254,5053.3407163619995,0.04311101,0.13037391,0.111899495,22.769495,22.74307,4.07654829474107,10.9457535224737,0.0451855944547692,4233.30783744856,112618250.0,57.3674870991968,0.613
Egypt,2023,116687.0,1185196.0,10157.1,21.708342,12.795247,3.7723415,44.51961672108155,5013.760324001312,0.042884395,0.13188772,0.11582205,23.54509,23.499321,4.07654829474107,10.6003111645036,0.0451855944547692,3456.78965212363,114535772.0,57.2901884958081,1.868
Egypt,2024,117744.0,1269795.45,10784.4,21.973555,12.555736,3.6454585,29.023061297717504,5106.456881523132,0.03932762,0.12770899,0.12258189,24.081976,24.121237,4.07654829474107,13.7121128792805,0.0451855944547692,3338.47371043679,116538258.0,57.1995636061596,2.013
Greece,2000,780357.0,2501916.4,3206.1,14.948529,8.608986,2.6399763,498.3912613838911,5501.814990520477,0.20665719,0.2162034,0.22598238,15.243428,15.266998,66.1675717610551,5.50251363510967,27.93040806827,11638.2010697215,10805808.0,27.334357089016,0.741
Greece,2001,787500.0,2349933.77,2984.0,15.284108,8.916644,2.8384054,696.8125272095203,5393.389655590057,0.20462996,0.21045627,0.21345264,15.723371,15.792073,65.4615981380915,5.36221949397772,28.1643669511249,12156.9572824221,10862132.0,27.1539296211498,1.38
Greece,2002,793449.0,2862958.42,3608.2,14.998845,9.512039,2.5224493,832.160894036293,5227.549166202545,0.23416893,0.23931478,0.233474,15.2426605,15.204361,64.7245927075252,5.22103153499556,28.398326609775,13782.195640943,10902022.0,26.9022890357484,0.503
